Exponent,Runtime
1,0.0359804
2,0.0181533
3,0.0147527
4,0.0103238
5,0.0116295
6,0.0104972
7,0.0105084
8,0.0063945
9,0.0073268
10,0.0069133
11,0.0073269
12,0.0087144
13,0.0096126
14,0.0123653
15,0.018315
16,0.0328602
17,0.0642671
Exponent,Runtime
1,0.3589224
2,0.1852118
3,0.1476544
4,0.1064412
5,0.1073386
6,0.1085166
7,0.1077636
8,0.0657333
9,0.0711148
10,0.0685025
11,0.0686095
12,0.0688579
13,0.0710616
14,0.0738395
15,0.0826627
16,0.0997639
17,0.1273581
18,0.2052766
19,0.3610035
Exponent,Runtime
1,0.0280096
2,0.0186993
3,0.012506
4,0.0095242
5,0.008036
6,0.0073492
7,0.0071687
8,0.0080845
9,0.0106683
10,0.0158784
11,0.0259481
12,0.0447621
Exponent,Runtime
1,0.0727924
2,0.0356038
3,0.0244834
4,0.0182197
5,0.0150497
6,0.0130989
7,0.0122183
8,0.0123443
9,0.0146289
10,0.0194308
11,0.0293759
12,0.0480881
13,0.0843472
